Country,Speed.Number,first_date,order,total_deaths,p.db,ylds.db,p.copd,ylds.copd,p.hiv,ylds.hiv,p.tbc,ylds.tbc,GDP_2017,pop_men,pop_women,prop_men,pm2.5,UHC_index_2017
Honduras,2.181818182,3/11/20,50,0,0.066072913,0.057002138,0.039918414,0.02917047,0.001057663,0.000837625,0.328864929,0.000454621,2449.964691,4636270.807,4862543.831,0.488089407,20.1,65
Hungary,5.722222222,3/4/20,43,4,0.07441371,0.046782193,0.060880631,0.0309083,0.000128781,0.000103825,0.116668686,0.000198555,14457.60876,4627334.944,5100029.222,0.475702859,15.6,74
Iceland,20.56521739,2/28/20,38,1,0.077820994,0.045628551,0.044111476,0.028861868,0.000906115,0.000593432,0.06909683,0.000104566,71314.7742,170022.6539,167447.8879,0.503814801,5.9,84
India,6.346153846,1/30/20,9,4,0.056872513,0.038856302,0.047559357,0.057406499,0.00139036,0.001255152,0.389945663,0.007493916,1981.268706,708239902.9,672320455.9,0.51300901,65.2,55
Indonesia,22.5,3/2/20,41,38,0.086508373,0.067983472,0.032769978,0.038645995,0.001301311,0.003742273,0.312456186,0.007134501,3836.913814,130150235.1,127984438.1,0.504195091,15.6,57
Iran,644.0625,2/19/20,29,1556,0.077930351,0.049479319,0.023443552,0.017562296,0.000239043,0.000247635,0.202516459,0.000192305,5627.749268,41674967.55,40501143.55,0.507142124,35.1,72
Iraq,7.925925926,2/24/20,34,17,0.096500217,0.057374832,0.033547201,0.023933903,3.13E-05,3.86E-05,0.220371582,0.000401346,5205.288255,22276783.84,21027657.75,0.514422609,57.7,61
Ireland,35.68181818,2/29/20,39,3,0.086953762,0.050297237,0.048904961,0.025395149,0.00086875,0.00055797,0.073339694,0.000127416,69649.88274,2405489.19,2455063.19,0.494900374,8.3,76
Israel,29.43333333,2/21/20,31,1,0.070515964,0.042686248,0.034270013,0.01891563,0.001401552,0.000922589,0.087432863,8.66E-05,40541.86209,4448575.055,4500622.984,0.497092034,19.5,82
Italy,1050.54902,1/31/20,10,4825,0.060826521,0.043107769,0.026592922,0.014884649,0.002764902,0.001831253,0.107620413,0.000149558,32326.84175,29443395.8,31154084.17,0.485884823,15.3,82
Jamaica,1.454545455,3/11/20,50,1,0.093836048,0.082502822,0.026340531,0.016628311,0.006736768,0.006382185,0.221997006,0.000182227,5069.183838,1376338.048,1402925.981,0.495216731,13.3,65
Japan,16.78333333,1/22/20,1,35,0.041149125,0.027389201,0.019337125,0.015104508,0.0001889,0.000149541,0.201680192,0.000185527,38331.9794,62543238.17,65820019.15,0.487236297,11.4,83
Jordan,4.473684211,3/3/20,42,0,0.095411881,0.059469631,0.031242316,0.024576303,5.79E-05,5.73E-05,0.070724199,0.000152077,4162.820687,5667457.544,4981005.604,0.532232442,32.1,76
Kazakhstan,5.888888889,3/13/20,52,0,0.066897061,0.04998147,0.04769131,0.02610091,0.000780024,0.00059997,0.149633073,0.0010455,9247.581331,8659946.11,9244388.1,0.483678757,11.3,76
Kenya,0.777777778,3/13/20,52,0,0.063187143,0.051320674,0.021218786,0.025605916,0.046841451,0.04346923,0.357212846,0.006023412,1568.201541,24112903.31,24213872.98,0.498955344,25.9,55
Kuwait,6.518518519,2/24/20,34,0,0.08631491,0.056728345,0.031779365,0.025081706,7.59E-05,6.30E-05,0.12610118,0.000265527,29759.53245,2315302.346,1946897.7,0.543217662,57.2,76
Kyrgyzstan,3.5,3/18/20,57,0,0.061629029,0.047035412,0.040455581,0.023020542,0.000991911,0.000856643,0.175889879,0.00143652,1219.82,3147882.421,3220693.351,0.494283578,18.1,70
Latvia,6.2,3/2/20,41,0,0.065288064,0.044979612,0.03642348,0.018677816,0.001936153,0.001718696,0.121504942,0.000401309,15548.08231,893181.0108,1052246.346,0.459118151,12.7,71
Lebanon,6.233333333,2/21/20,31,4,0.102250203,0.067498777,0.038456575,0.033150703,0.000273617,0.000264482,0.117429338,0.000238426,7838.343385,4287107.748,4224871.768,0.503655788,30.7,73
